Airline,Date_of_Journey,Source,Destination,Route,Distance,via_1,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Flight_Category,market_share
Air India,09-04-19,Delhi,Cochin,DEL → BHO → BOM → COK,2303,BHO,5:55,7:40,1545,2 stops,No info,10021,Mid,0.002944092
SpiceJet,24-06-19,Chennai,Kolkata,MAA → CCU,1366,No,17:45,20:05,140,non-stop,No info,3597,Low,0.001629496
IndiGo,24-05-19,Chennai,Kolkata,MAA → CCU,1366,No,11:35,14:00,145,non-stop,No info,4332,Low,0.002469661
GoAir,21-06-19,Banglore,Delhi,BLR → DEL,1740,No,20:55,23:40,165,non-stop,No info,3898,Low,0.000956845
Jet Airways,06-03-19,Mumbai,Hyderabad,BOM → BDQ → DEL → HYD,2635,BDQ,13:05,16:50,1665,2 stops,No info,21375,High,0.00595203
Vistara,06-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,7:10,23:25,975,1 stop,No info,8610,Mid,0.004067785
IndiGo,15-06-19,Kolkata,Banglore,CCU → BLR,1559,No,17:15,19:50,155,non-stop,No info,4804,Low,0.005787152
Air India,01-06-19,Delhi,Cochin,DEL → CCU → BOM → COK,4033,CCU,14:25,19:15,1730,2 stops,No info,13591,Mid,0.029230629
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,16:20,590,1 stop,No info,14781,High,0.096462869
Jet Airways,15-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,8:00,13:15,315,1 stop,In-flight meal not included,9134,High,0.066758984
Air India,09-06-19,Delhi,Cochin,DEL → NAG → BOM → COK,2596,NAG,5:55,7:40,1545,2 stops,No info,10493,Mid,0.029230629
Jet Airways,24-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,11:40,9:00,1280,1 stop,In-flight meal not included,8147,High,0.066758984
SpiceJet,21-06-19,Kolkata,Banglore,CCU → BLR,1559,No,22:20,0:40,140,non-stop,No info,3873,Low,0.003905035
Jet Airways,09-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,12:00,1025,1 stop,No info,14571,High,0.03720203
Air India,03-03-19,Banglore,New Delhi,BLR → VGA → HYD → DEL,2021,VGA,10:30,21:25,655,2 stops,No info,11003,Mid,0.024396627
Jet Airways,03-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:15,4:25,550,1 stop,In-flight meal not included,10262,High,0.092673869
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,18:50,995,1 stop,No info,12719,High,0.040169935
Jet Airways,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:55,19:00,1325,1 stop,In-flight meal not included,10262,High,0.092673869
Air India,21-06-19,Banglore,Delhi,BLR → DEL,1740,No,17:00,19:45,165,non-stop,No info,7171,Mid,0.002838052
SpiceJet,27-04-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No info,4423,Low,0.002278387
Multiple carriers,09-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:25,1:35,490,1 stop,In-flight meal not included,12616,High,0.042119816
Air India,01-06-19,Delhi,Cochin,DEL → HYD → BOM → COK,2945,HYD,17:15,19:15,1560,2 stops,No info,12970,Mid,0.029230629
Jet Airways,24-03-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,10:05,775,1 stop,No info,14914,High,0.012528831
Jet Airways,06-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,2:55,4:20,85,non-stop,In-flight meal not included,3210,High,0.003492184
GoAir,21-04-19,Banglore,Delhi,BLR → DEL,1740,No,7:45,10:40,175,non-stop,No info,4632,Low,0.001114364
Jet Airways,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:30,4:25,655,1 stop,In-flight meal not included,12373,High,0.055619755
IndiGo,15-06-19,Kolkata,Banglore,CCU → BLR,1559,No,14:25,16:55,150,non-stop,No info,4804,Low,0.005787152
Multiple carriers,03-03-19,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,2378,GWL,11:35,21:00,565,3 stops,No info,21829,High,0.042119816
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,21:00,780,1 stop,No info,13587,High,0.055466841
Jet Airways,27-06-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,23:05,4:25,1760,2 stops,No info,12819,High,0.092673869
Air Asia,27-03-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,20:10,7:10,660,1 stop,No info,6151,Low,0.001256711
Jet Airways,01-06-19,Banglore,Delhi,BLR → DEL,1740,No,15:15,18:10,175,non-stop,No info,8016,High,0.009650841
Multiple carriers,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:30,18:50,680,1 stop,No info,15135,High,0.042119816
IndiGo,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:10,1:30,500,1 stop,No info,6794,Low,0.012972695
Vistara,15-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,20:20,1640,1 stop,No info,8610,Mid,0.009582484
Air India,18-05-19,Kolkata,Banglore,CCU → IXR → DEL → BLR,3255,IXR,5:50,12:30,1840,2 stops,No info,12723,Mid,0.032907883
Air India,06-06-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,12:00,13:15,1515,1 stop,No info,7662,Mid,0.012242244
Multiple carriers,09-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:00,1:35,515,1 stop,No info,14343,High,0.042119816
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,1:30,910,1 stop,No info,6795,High,0.055466841
SpiceJet,09-05-19,Kolkata,Banglore,CCU → BLR,1559,No,22:20,0:40,140,non-stop,No info,3873,Low,0.004804334
IndiGo,12-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,19:05,20:35,90,non-stop,No info,2754,Low,0.002158096
Air India,06-03-19,Mumbai,Hyderabad,BOM → CCU → HYD,3159,CCU,6:10,21:15,905,1 stop,No info,16666,Mid,0.006809644
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,4:55,12:35,460,1 stop,No info,11098,High,0.055466841
Jet Airways,09-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,22:05,1745,1 stop,In-flight meal not included,10539,High,0.03720203
Air India,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,19:15,735,1 stop,No info,9929,Mid,0.020984595
Jet Airways,12-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,16:20,1430,1 stop,In-flight meal not included,10844,High,0.096462869
Jet Airways,06-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,14:25,1730,1 stop,No info,12692,High,0.03720203
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:50,4:25,455,1 stop,In-flight meal not included,9212,High,0.040169935
Multiple carriers,15-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:00,1:30,630,1 stop,No info,13727,High,0.039017972
Air Asia,15-06-19,Banglore,Delhi,BLR → DEL,1740,No,4:55,7:45,170,non-stop,No info,4282,Low,0.001082166
Jet Airways,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,16:20,1285,1 stop,In-flight meal not included,10844,High,0.096462869
Air India,27-06-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,17:20,9:25,965,1 stop,No info,7480,Mid,0.029230629
IndiGo,01-05-19,Banglore,Delhi,BLR → DEL,1740,No,16:55,19:55,180,non-stop,No info,4823,Low,0.005391613
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,22:50,12:35,825,1 stop,In-flight meal not included,12373,High,0.055619755
Multiple carriers,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:40,21:00,560,1 stop,No info,7215,High,0.042119816
Air India,09-05-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,6:05,9:25,1640,1 stop,No info,7480,Mid,0.020984595
Multiple carriers,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:00,21:00,720,1 stop,No info,8143,High,0.055466841
IndiGo,03-05-19,Banglore,Delhi,BLR → DEL,1740,No,18:25,21:20,175,non-stop,No info,4823,Low,0.005391613
Jet Airways,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,8:15,735,1 stop,In-flight meal not included,10844,High,0.03720203
SpiceJet,12-04-19,Banglore,Delhi,BLR → DEL,1740,No,21:10,0:05,175,non-stop,No info,5621,Low,0.002278387
Vistara,18-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:20,20:20,1440,1 stop,No info,9555,Mid,0.009582484
IndiGo,21-03-19,Banglore,New Delhi,BLR → DEL,1740,No,1:30,4:15,165,non-stop,No info,4777,Low,0.011442832
SpiceJet,03-03-19,Banglore,New Delhi,BLR → DEL,1740,No,9:35,12:30,175,non-stop,No info,7648,Low,0.002740599
IndiGo,01-04-19,Kolkata,Banglore,CCU → PAT → BLR,2189,PAT,9:20,14:15,295,1 stop,No info,10308,Low,0.005137245
Jet Airways,24-05-19,Delhi,Cochin,DEL → JDH → BOM → COK,2370,JDH,11:40,19:00,440,2 stops,No info,21219,High,0.055619755
IndiGo,06-05-19,Kolkata,Banglore,CCU → PAT → BLR,2189,PAT,9:20,14:15,295,1 stop,No info,11319,Low,0.008095207
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,20:45,1415,1 stop,In-flight meal not included,10844,High,0.096462869
Multiple carriers,09-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,1:30,435,1 stop,No info,15078,High,0.039017972
SpiceJet,01-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,22:45,0:15,90,non-stop,No info,2017,Low,0.00100085
Air Asia,01-06-19,Kolkata,Banglore,CCU → BLR,1559,No,22:50,1:20,150,non-stop,No info,4409,Low,0.002156656
IndiGo,09-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:35,12:10,275,1 stop,No info,5054,Low,0.016803179
Air India,15-03-19,Banglore,New Delhi,BLR → CCU → GAU → DEL,3512,CCU,5:50,22:10,980,2 stops,No info,10111,Mid,0.024396627
SpiceJet,18-03-19,Banglore,New Delhi,BLR → DEL,1740,No,20:30,23:20,170,non-stop,No check-in baggage included,4273,Low,0.002740599
Air India,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:50,7:55,905,1 stop,No info,8576,Mid,0.032907883
Jet Airways,03-06-19,Banglore,Delhi,BLR → DEL,1740,No,17:45,20:45,180,non-stop,No info,8016,High,0.009650841
Jet Airways,09-06-19,Banglore,Delhi,BLR → DEL,1740,No,15:15,18:10,175,non-stop,No info,8016,High,0.009650841
Jet Airways,18-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,23:35,1630,1 stop,No info,14151,High,0.096462869
IndiGo,15-04-19,Banglore,Delhi,BLR → DEL,1740,No,6:05,8:50,165,non-stop,No info,4423,Low,0.006068435
Jet Airways,15-06-19,Mumbai,Hyderabad,BOM → HYD,622,No,7:05,8:30,85,non-stop,In-flight meal not included,4050,High,0.004235087
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,19:50,345,1 stop,No info,14781,High,0.096462869
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,8:15,735,1 stop,In-flight meal not included,8586,High,0.096462869
Air Asia,21-05-19,Kolkata,Banglore,CCU → BBI → BLR,2842,BBI,19:55,23:30,215,1 stop,No info,5162,Low,0.003038993
Jet Airways,09-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,4:40,450,1 stop,No info,13731,High,0.03720203
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,13:00,4:25,925,1 stop,In-flight meal not included,7438,High,0.040169935
Jet Airways,15-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,10:55,1520,1 stop,No info,14151,High,0.096462869
Vistara,12-04-19,Banglore,Delhi,BLR → DEL,1740,No,21:00,23:50,170,non-stop,No info,5613,Mid,0.002563821
IndiGo,15-05-19,Kolkata,Banglore,CCU → HYD → BLR,1965,HYD,15:15,20:05,290,1 stop,No info,5380,Low,0.008095207
Jet Airways,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,4:25,1015,1 stop,In-flight meal not included,7438,High,0.040169935
Multiple carriers,01-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:05,22:30,925,1 stop,No info,9646,High,0.055466841
Air Asia,15-05-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,20:45,7:10,625,1 stop,No info,6853,Low,0.001487584
Jet Airways,18-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,14:05,20:20,375,1 stop,No info,13555,High,0.066758984
IndiGo,15-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:30,1:30,480,1 stop,No info,5883,Low,0.016803179
IndiGo,09-03-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,4:55,12:00,425,1 stop,No info,6171,Low,0.019701721
IndiGo,21-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,16:55,18:25,90,non-stop,No info,3175,Low,0.002190093
IndiGo,27-03-19,Delhi,Cochin,DEL → AMD → COK,2414,AMD,7:45,13:40,355,1 stop,No info,4832,Low,0.019701721
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,16:00,1:30,570,1 stop,No info,13377,High,0.055466841
Jet Airways,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:45,4:25,520,1 stop,In-flight meal not included,10262,High,0.092673869
Jet Airways,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,12:35,1100,1 stop,In-flight meal not included,10262,High,0.092673869
Air India,18-05-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,12:00,7:40,1180,2 stops,No info,8603,Mid,0.020984595
Jet Airways,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,4:40,1330,1 stop,In-flight meal not included,8586,High,0.03720203
Vistara,21-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:20,9:05,765,1 stop,No info,8452,Mid,0.009582484
Jet Airways,24-03-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,18:10,1395,1 stop,No info,14231,High,0.012528831
Jet Airways,21-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,19:00,660,1 stop,No info,16289,High,0.055619755
SpiceJet,03-03-19,Banglore,New Delhi,BLR → DEL,1740,No,9:35,12:30,175,non-stop,No info,6860,Low,0.002740599
IndiGo,09-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,2:35,4:05,90,non-stop,No info,2754,Low,0.002190093
Multiple carriers,09-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:05,22:30,925,1 stop,No info,9646,High,0.055466841
Air India,27-05-19,Chennai,Kolkata,MAA → CCU,1366,No,11:40,13:55,135,non-stop,No info,4667,Mid,0.000444731
IndiGo,21-04-19,Kolkata,Banglore,CCU → BLR,1559,No,15:30,18:05,155,non-stop,No info,4804,Low,0.005137245
IndiGo,09-03-19,Banglore,New Delhi,BLR → DEL,1740,No,1:30,4:15,165,non-stop,No info,4545,Low,0.011442832
Jet Airways,01-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,22:50,20:20,1290,1 stop,No info,25735,High,0.066758984
Jet Airways,21-03-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,5:30,4:25,1375,2 stops,No info,12647,High,0.040169935
Jet Airways,01-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,14:05,8:15,1090,1 stop,In-flight meal not included,8586,High,0.096462869
IndiGo,09-06-19,Chennai,Kolkata,MAA → CCU,1366,No,22:05,0:25,140,non-stop,No info,5277,Low,0.002733855
IndiGo,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,1:35,845,1 stop,No info,6206,Low,0.019701721
Air Asia,12-04-19,Banglore,Delhi,BLR → DEL,1740,No,11:10,13:55,165,non-stop,No info,4483,Low,0.000953288
Vistara,24-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,18:50,1550,1 stop,No info,9870,Mid,0.009582484
SpiceJet,27-06-19,Kolkata,Banglore,CCU → BLR,1559,No,17:10,19:40,150,non-stop,No check-in baggage included,3841,Low,0.003905035
SpiceJet,27-03-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:30,150,non-stop,No check-in baggage included,3815,Low,0.002698904
IndiGo,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,23:30,2:20,170,non-stop,No info,6860,Low,0.011442832
Jet Airways,01-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:25,10:55,870,1 stop,No info,12121,High,0.096462869
Jet Airways,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:55,18:50,535,1 stop,In-flight meal not included,5963,High,0.040169935
SpiceJet,06-06-19,Banglore,Delhi,BLR → DEL,1740,No,5:55,8:35,160,non-stop,No info,3625,Low,0.001630798
SpiceJet,15-06-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No check-in baggage included,3841,Low,0.003905035
IndiGo,12-06-19,Banglore,Delhi,BLR → DEL,1740,No,20:00,22:50,170,non-stop,No info,4823,Low,0.005589388
Multiple carriers,12-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,9:45,16:10,385,1 stop,No info,9646,High,0.055466841
Jet Airways,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,12:35,620,1 stop,In-flight meal not included,10152,High,0.055619755
IndiGo,03-06-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,6:50,22:30,940,1 stop,No info,7514,Low,0.016803179
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,7:00,18:25,685,1 stop,No info,16736,High,0.066758984
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,10:05,910,1 stop,No info,13584,High,0.096462869
Air India,21-05-19,Kolkata,Banglore,CCU → JAI → BOM → BLR,3115,JAI,8:20,7:55,1415,2 stops,No info,11222,Mid,0.032907883
IndiGo,01-05-19,Chennai,Kolkata,MAA → CCU,1366,No,7:55,10:15,140,non-stop,No info,3850,Low,0.002469661
Vistara,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,12:00,14:40,160,non-stop,No info,7608,Mid,0.005058522
Jet Airways,12-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,16:20,1220,1 stop,In-flight meal not included,10844,High,0.096462869
Multiple carriers,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:00,1:30,510,1 stop,No info,7408,High,0.055466841
Vistara,18-05-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,3687,Mid,0.001327238
SpiceJet,03-03-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,16:35,22:50,375,1 stop,No info,11726,Low,0.001399205
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,9:20,1610,1 stop,In-flight meal not included,9663,High,0.096462869
Air India,24-03-19,Kolkata,Banglore,CCU → DEL → COK → BLR,4007,DEL,7:00,13:45,1845,2 stops,No info,12829,Mid,0.005310371
IndiGo,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,16:00,21:00,300,1 stop,No info,6069,Low,0.016803179
Jet Airways,12-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,16:30,19:50,1640,1 stop,In-flight meal not included,8529,High,0.03720203
Vistara,09-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,23:25,385,1 stop,No info,8085,Mid,0.009582484
Vistara,15-05-19,Banglore,Delhi,BLR → DEL,1740,No,19:30,22:15,165,non-stop,No info,4878,Mid,0.002196435
IndiGo,03-04-19,Banglore,Delhi,BLR → DEL,1740,No,13:00,15:50,170,non-stop,No info,4077,Low,0.006068435
IndiGo,09-05-19,Kolkata,Banglore,CCU → PNQ → BLR,2554,PNQ,21:00,2:15,315,1 stop,No info,7605,Low,0.008095207
Jet Airways,15-06-19,Delhi,Cochin,DEL → JAI → BOM → COK,2218,JAI,5:30,4:25,1375,2 stops,No info,13014,High,0.092673869
IndiGo,03-03-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:35,22:20,885,1 stop,No info,11600,Low,0.019701721
Jet Airways,12-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,9:45,1005,1 stop,No info,14151,High,0.096462869
Air India,24-06-19,Delhi,Cochin,DEL → HYD → BOM → COK,2945,HYD,13:15,7:40,1105,2 stops,No info,12497,Mid,0.029230629
Jet Airways,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,2:15,18:50,995,1 stop,No info,17024,High,0.040169935
SpiceJet,09-03-19,Chennai,Kolkata,MAA → CCU,1366,No,9:30,12:05,155,non-stop,No info,6300,Low,0.001951766
Multiple carriers,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,17:45,1:35,470,1 stop,No info,15147,High,0.042119816
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,12:50,1:30,760,1 stop,No info,6795,High,0.055466841
IndiGo,03-03-19,Mumbai,Hyderabad,BOM → HYD,622,No,19:05,20:30,85,non-stop,No info,5755,Low,0.002908452
Air India,12-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:30,16:15,1185,1 stop,No info,10203,Mid,0.032907883
Jet Airways,06-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:30,4:25,1015,1 stop,No info,14714,High,0.092673869
IndiGo,18-03-19,Banglore,New Delhi,BLR → DEL,1740,No,22:20,1:10,170,non-stop,No info,4545,Low,0.011442832
Jet Airways,15-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,6:30,20:45,855,1 stop,No info,14781,High,0.096462869
Air India,12-03-19,Banglore,New Delhi,BLR → TRV → COK → DEL,2784,TRV,7:30,11:05,1655,2 stops,No info,11602,Mid,0.024396627
IndiGo,06-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,6:25,7:55,90,non-stop,No info,4049,Low,0.002190093
Jet Airways,09-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,20:45,740,1 stop,No info,14571,High,0.03720203
Air India,09-06-19,Banglore,Delhi,BLR → DEL,1740,No,6:10,8:55,165,non-stop,No info,6961,Mid,0.002838052
SpiceJet,15-05-19,Kolkata,Banglore,CCU → PNQ → BLR,2554,PNQ,8:35,17:15,520,1 stop,No info,6381,Low,0.004804334
SpiceJet,01-04-19,Kolkata,Banglore,CCU → BLR,1559,No,6:55,9:30,155,non-stop,No check-in baggage included,3841,Low,0.003339504
Jet Airways,21-03-19,Delhi,Cochin,DEL → IXC → BOM → COK,2648,IXC,6:20,4:25,1325,2 stops,No info,11538,High,0.040169935
Vistara,06-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,20:20,20:20,1440,1 stop,No info,8610,Mid,0.009582484
Multiple carriers,01-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,21:00,840,1 stop,No info,7408,High,0.055466841
Jet Airways,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:45,12:35,1010,1 stop,In-flight meal not included,10262,High,0.092673869
Air India,06-05-19,Kolkata,Banglore,CCU → IXR → DEL → BLR,3255,IXR,5:50,8:55,1625,2 stops,No info,10991,Mid,0.032907883
Multiple carriers,09-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,18:15,1:30,435,1 stop,No info,13587,High,0.055466841
Air India,15-05-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,12:30,9:25,1255,1 stop,No info,7480,Mid,0.020984595
IndiGo,09-03-19,Banglore,New Delhi,BLR → IDR → DEL,2028,IDR,17:55,22:55,300,1 stop,No info,6351,Low,0.011442832
Multiple carriers,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,14:00,21:00,420,1 stop,In-flight meal not included,7153,High,0.039017972
Air Asia,06-05-19,Kolkata,Banglore,CCU → BLR,1559,No,19:55,22:25,150,non-stop,No info,4409,Low,0.003038993
IndiGo,15-05-19,Kolkata,Banglore,CCU → PNQ → BLR,2554,PNQ,21:00,2:15,315,1 stop,No info,7228,Low,0.008095207
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,18:50,650,1 stop,No info,11667,High,0.042119816
SpiceJet,12-06-19,Kolkata,Banglore,CCU → MAA → BLR,1650,MAA,15:05,20:20,315,1 stop,No info,4649,Low,0.003905035
Air India,09-05-19,Kolkata,Banglore,CCU → BOM → COK → BLR,3095,BOM,16:50,13:45,1255,2 stops,No info,12592,Mid,0.032907883
Multiple carriers,12-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,19:00,520,1 stop,No info,11789,High,0.055466841
Air India,01-06-19,Chennai,Kolkata,MAA → CCU,1366,No,11:40,13:55,135,non-stop,No info,4667,Mid,0.000296488
Air Asia,21-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,22:40,10:40,720,1 stop,No info,9719,Low,0.003038993
Air India,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,13:00,19:15,375,1 stop,No info,6902,Mid,0.021058997
Jet Airways,21-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,4:40,520,1 stop,No info,14781,High,0.096462869
Jet Airways,18-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,8:25,22:35,850,1 stop,In-flight meal not included,10844,High,0.096462869
Air India,24-03-19,Kolkata,Banglore,CCU → IXZ → MAA → BLR,2954,IXZ,5:40,14:35,1975,2 stops,No info,11522,Mid,0.005310371
Air India,21-04-19,Banglore,Delhi,BLR → DEL,1740,No,13:20,16:10,170,non-stop,No info,6121,Mid,0.002403422
Vistara,06-06-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,17:00,23:25,385,1 stop,No info,8610,Mid,0.004067785
Air Asia,24-03-19,Kolkata,Banglore,CCU → BLR,1559,No,22:50,1:20,150,non-stop,No info,5620,Low,0.001443527
IndiGo,27-05-19,Kolkata,Banglore,CCU → BLR,1559,No,15:15,17:45,150,non-stop,No info,4804,Low,0.008095207
Multiple carriers,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:20,21:00,640,1 stop,No info,7005,High,0.039017972
Jet Airways,01-05-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,23:05,19:00,1195,2 stops,No info,15129,High,0.055619755
Jet Airways,24-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,20:00,4:40,520,1 stop,In-flight meal not included,8586,High,0.096462869
Multiple carriers,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:00,19:00,660,1 stop,No info,10197,High,0.039017972
Multiple carriers,27-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:10,19:15,605,1 stop,No info,10667,High,0.042119816
IndiGo,12-06-19,Kolkata,Banglore,CCU → PAT → BLR,2189,PAT,9:20,14:15,295,1 stop,No info,11160,Low,0.005787152
